TIMESTAMP,TIME,RAW,CURRENT
14:25:57 17/05/24,1715966757.922523,0.0231,1.9497910091860349
14:26:08 17/05/24,1715966768.9591582,0.0233,1.9699645999414477
14:26:19 17/05/24,1715966779.9959407,0.0227,1.909443952291392
14:26:31 17/05/24,1715966791.033292,0.0229,1.9296174599693496
14:26:42 17/05/24,1715966802.0697885,0.0227,1.909443952291392
14:26:53 17/05/24,1715966813.1067722,0.0226,1.8993572140294352
14:27:04 17/05/24,1715966824.1432438,0.0227,1.909443952291392
14:27:15 17/05/24,1715966835.1797824,0.0228,1.9195307009380298
14:27:26 17/05/24,1715966846.2176905,0.0229,1.9296174599693496
14:27:37 17/05/24,1715966857.255425,0.0228,1.9195307009380298
14:27:48 17/05/24,1715966868.292755,0.0225,1.8892704861521605
14:27:59 17/05/24,1715966879.329893,0.0226,1.8993572140294352
14:28:10 17/05/24,1715966890.3665385,0.0225,1.8892704861521605
14:28:21 17/05/24,1715966901.995864,0.0224,1.8791837686595678
14:28:33 17/05/24,1715966913.0332608,0.0223,1.8690970615516571
14:28:44 17/05/24,1715966924.0686898,0.0226,1.8993572140294352
14:28:55 17/05/24,1715966935.106202,0.0223,1.8690970615516571
14:29:06 17/05/24,1715966946.1436608,0.0222,1.859010364828428
14:29:17 17/05/24,1715966957.1812232,0.0226,1.8993572140294352
